Container ID,Stage,Substage,Stage Sequence,Substage Sequence,Assigned Role,Expected TAT (hrs),Actual TAT (hrs),Deviation,Deviation Reason,Start Date,Start Timestamp,End Date,End Timestamp,Status,
CONT-0001, Plan & Book,Freight requirement assessment,1,1,Freight Manager,5,7,Yes,Client Unresponsive,01-07-2025,00:00:00,01-07-2025,07:00:00,Completed,
CONT-0001, Plan & Book,Route & mode planning,1,2,Logistics Planner,4,6,Yes,Documentation Delay,01-07-2025,07:00:00,01-07-2025,13:00:00,Completed,`
CONT-0001, Plan & Book,Quotation & booking,1,3,Sales Executive,4,6,Yes,Inspection Delay,01-07-2025,13:00:00,01-07-2025,19:00:00,Completed,
CONT-0001, Plan & Book,Client confirmation & scheduling,1,4,Client Relations Manager,3,5,Yes,Documentation Delay,01-07-2025,19:00:00,02-07-2025,00:00:00,Completed,
CONT-0001, Shipping Services,Cargo Consolidation & Stuffing,2,1,CFS Manager,6,7,Yes,Staff Unavailable,02-07-2025,00:00:00,02-07-2025,07:00:00,Completed,
CONT-0001, Shipping Services,Vessel Booking & Allocation,2,2,Vessel Planner,6,5,No,No Deviation,02-07-2025,07:00:00,02-07-2025,12:00:00,Completed,
CONT-0001, Shipping Services,Pre-Shipment Inspection & Gate-In,2,3,Quality Control Officer,5,5,No,No Deviation,02-07-2025,12:00:00,02-07-2025,17:00:00,Completed,
CONT-0001, Shipping Services,"Documentation, EDI & BL Issuance",2,4,EDI Specialist,3,4,Yes,Documentation Delay,02-07-2025,17:00:00,02-07-2025,21:00:00,Completed,
CONT-0001, Shipping Services,Vessel Onboarding & Tracking,2,5,Marine Operations Coordinator,8,9,Yes,Staff Unavailable,02-07-2025,21:00:00,03-07-2025,06:00:00,Completed,
CONT-0001, Port Handling,Vessel Arrival & Port Unloading,3,1,Port Operations Team,4,3,No,No Deviation,03-07-2025,06:00:00,03-07-2025,09:00:00,Completed,
CONT-0001, Port Handling,Yard Stacking at Port,3,2,Port Operations Team,5,7,Yes,Staff Unavailable,03-07-2025,09:00:00,03-07-2025,16:00:00,Completed,
CONT-0001, Port Handling,Movement to CFS,3,3,Port Operations Team,8,10,Yes,Route Blockage,03-07-2025,16:00:00,04-07-2025,02:00:00,Completed,
CONT-0001, CFS,Gate-In at CFS,4,1,CFS Gate Supervisor,7,6,No,No Deviation,04-07-2025,02:00:00,04-07-2025,08:00:00,Completed,
CONT-0001, CFS,EDI Operations & Documentation at CFS,4,2,CFS Documentation Officer,3,2,No,No Deviation,04-07-2025,08:00:00,04-07-2025,10:00:00,Completed,
CONT-0001, CFS,Customs Examination & Clearance at CFS,4,3,Customs Officer,5,5,No,No Deviation,04-07-2025,10:00:00,04-07-2025,15:00:00,Completed,
CONT-0001, CFS,Seal Cutting of the Container,4,4,Container Supervisor,4,6,Yes,Documentation Delay,04-07-2025,15:00:00,04-07-2025,21:00:00,Completed,
CONT-0001, CFS,Route planning and optimization,4,5,Route Planner,5,5,No,No Deviation,04-07-2025,21:00:00,05-07-2025,02:00:00,Completed,
CONT-0001, CFS,Dispatch to Importer,4,6,Dispatch Coordinator,5,4,No,No Deviation,05-07-2025,02:00:00,05-07-2025,06:00:00,Completed,
CONT-0001, Delivery & Handover,Inland Transport Booking & Scheduling,5,1,Delivery Coordinator,3,3,No,No Deviation,05-07-2025,06:00:00,05-07-2025,09:00:00,Completed,
